workerid,proliferate.condition,chosen_continuation,exp_continuation,id,order,prompt,response,type,unexp_continuation,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
906,cond55,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,The dog that he liked had been adopted by someone else.,The dog that he liked had been adopted by someone else.,1_dog_doubt_know_nonref,0,I doubt that John owns a dog but I know that he owns a cat.,exp,doubt_know,The cat that he liked had been adopted by someone else.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,It's not a big deal.,It's not a big deal.,4_book_doubt,1,I doubt that Susan published a book.,exp,doubt,It is a real page-turner.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,It was much cheaper than he expected.,It was much cheaper than he expected.,12_ticket_managed,0,Thomas managed to book a ticket.,exp,managed,It's not a big deal.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
906,cond55,The house has a flat roof. ,The house has a flat roof. ,16_house_negation_affirmative_ref,0,Lisa didn't build a shed but she built a house.,exp,negation_affirmative,The shed has a flat roof.,[],55,19,Yes,,1,2,$0.30,Female,English,,No,Safari,iPhone/iPod,896,414,4.0389,
1092,cond55,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,The house has a flat roof. ,The house has a flat roof. ,16_house_negation_affirmative_ref,0,Lisa didn't build a shed but she built a house.,exp,negation_affirmative,The shed has a flat roof.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,It's not a big deal.,It's not a big deal.,4_book_doubt,1,I doubt that Susan published a book.,exp,doubt,It is a real page-turner.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,The dog that he liked had been adopted by someone else.,The dog that he liked had been adopted by someone else.,1_dog_doubt_know_nonref,0,I doubt that John owns a dog but I know that he owns a cat.,exp,doubt_know,The cat that he liked had been adopted by someone else.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1092,cond55,It was much cheaper than he expected.,It was much cheaper than he expected.,12_ticket_managed,0,Thomas managed to book a ticket.,exp,managed,It's not a big deal.,[],55,19,Yes,,2,2,yes,Male,English,,No,Chrome,Mac,900,1440,1.6350833333333334,
1211,cond55,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
1211,cond55,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],55,48,Yes,,2,1,.50,Male,English,,no,Chrome,Mac,768,1366,1.087883333333333,
