pair_id,sentence,type,pronoun,preferred,ll
0,James owned a dog. The dog had a long tail.,negation,0,1,17.636076
0,James didn't own a dog. The dog had a long tail.,negation,0,0,19.69162
1,James owned a dog. It had a long tail.,negation,1,1,15.690173
1,James didn't own a dog. It had a long tail.,negation,1,0,17.972872
2,Joseph owned a dog. The dog had a red collar.,negation,0,1,19.564026
2,Joseph didn't own a dog. The dog had a red collar.,negation,0,0,22.32273
3,Joseph owned a dog. It had a red collar.,negation,1,1,17.834494
3,Joseph didn't own a dog. It had a red collar.,negation,1,0,20.430267
4,John owned a dog. The dog had a blind eye.,negation,0,1,22.150076
4,John didn't own a dog. The dog had a blind eye.,negation,0,0,23.809416
5,John owned a dog. It had a blind eye.,negation,1,1,20.383314
5,John didn't own a dog. It had a blind eye.,negation,1,0,22.784323
6,Susan owned a dog. The dog had a shrill voice.,negation,0,1,26.002779
6,Susan didn't own a dog. The dog had a shrill voice.,negation,0,0,27.2357
7,Susan owned a dog. It had a shrill voice.,negation,1,1,25.162529
7,Susan didn't own a dog. It had a shrill voice.,negation,1,0,26.69088
8,John owned a dog. The dog had a colorful back.,negation,0,1,26.112228
8,John didn't own a dog. The dog had a colorful back.,negation,0,0,27.634497
9,John owned a dog. It had a colorful back.,negation,1,1,23.994925
9,John didn't own a dog. It had a colorful back.,negation,1,0,25.400007
10,Susan owned a dog. The dog enjoyed frolicking in the forest.,negation,0,1,32.65396
10,Susan didn't own a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.423557
11,Susan owned a dog. It enjoyed frolicking in the forest.,negation,1,1,31.330654
11,Susan didn't own a dog. It enjoyed frolicking in the forest.,negation,1,0,33.464577
12,Richard owned a dog. The dog preferred fish over other food.,negation,0,1,34.87254
12,Richard didn't own a dog. The dog preferred fish over other food.,negation,0,0,36.20584
13,Richard owned a dog. It preferred fish over other food.,negation,1,1,32.747784
13,Richard didn't own a dog. It preferred fish over other food.,negation,1,0,34.601086
14,Bill owned a dog. The dog's name was Fido.,negation,0,1,21.43611
14,Bill didn't own a dog. The dog's name was Fido.,negation,0,0,22.709936
15,Bill owned a dog. Its name was Fido.,negation,1,1,19.367636
15,Bill didn't own a dog. Its name was Fido.,negation,1,0,21.78854
16,Karen owned a dog. The dog liked to swim in lakes.,negation,0,1,29.278244
16,Karen didn't own a dog. The dog liked to swim in lakes.,negation,0,0,30.042673
17,Karen owned a dog. It liked to swim in lakes.,negation,1,1,26.693745
17,Karen didn't own a dog. It liked to swim in lakes.,negation,1,0,29.442295
18,John owned a dog. The dog loved cheese.,negation,0,1,20.648355
18,John didn't own a dog. The dog loved cheese.,negation,0,0,23.148136
19,John owned a dog. It loved cheese.,negation,1,1,18.969292
19,John didn't own a dog. It loved cheese.,negation,1,0,23.587463
20,Thomas saw a dog. The dog had a long tail.,negation,0,1,15.610335
20,Thomas didn't see a dog. The dog had a long tail.,negation,0,0,18.140379
21,Thomas saw a dog. It had a long tail.,negation,1,1,14.179829
21,Thomas didn't see a dog. It had a long tail.,negation,1,0,16.351313
22,Richard saw a dog. The dog had a red collar.,negation,0,1,17.80932
22,Richard didn't see a dog. The dog had a red collar.,negation,0,0,20.711311
23,Richard saw a dog. It had a red collar.,negation,1,1,15.960585
23,Richard didn't see a dog. It had a red collar.,negation,1,0,18.800777
24,Jessica saw a dog. The dog had a blind eye.,negation,0,1,20.977169
24,Jessica didn't see a dog. The dog had a blind eye.,negation,0,0,23.011066
25,Jessica saw a dog. It had a blind eye.,negation,1,1,19.415169
25,Jessica didn't see a dog. It had a blind eye.,negation,1,0,21.445301
26,Joseph saw a dog. The dog had a shrill voice.,negation,0,1,24.007698
26,Joseph didn't see a dog. The dog had a shrill voice.,negation,0,0,26.16077
27,Joseph saw a dog. It had a shrill voice.,negation,1,1,23.523853
27,Joseph didn't see a dog. It had a shrill voice.,negation,1,0,24.673687
28,Thomas saw a dog. The dog had a colorful back.,negation,0,1,25.269068
28,Thomas didn't see a dog. The dog had a colorful back.,negation,0,0,27.035194
29,Thomas saw a dog. It had a colorful back.,negation,1,1,23.262344
29,Thomas didn't see a dog. It had a colorful back.,negation,1,0,24.792221
30,James saw a dog. The dog enjoyed frolicking in the forest.,negation,0,1,31.605854
30,James didn't see a dog. The dog enjoyed frolicking in the forest.,negation,0,0,33.239647
31,James saw a dog. It enjoyed frolicking in the forest.,negation,1,1,31.088076
31,James didn't see a dog. It enjoyed frolicking in the forest.,negation,1,0,32.511036
32,Barbara saw a dog. The dog preferred fish over other food.,negation,0,1,34.705624
32,Barbara didn't see a dog. The dog preferred fish over other food.,negation,0,0,35.72132
33,Barbara saw a dog. It preferred fish over other food.,negation,1,1,33.401222
33,Barbara didn't see a dog. It preferred fish over other food.,negation,1,0,33.599964
34,Susan saw a dog. The dog's name was Fido.,negation,0,1,18.610489
34,Susan didn't see a dog. The dog's name was Fido.,negation,0,0,21.186468
35,Susan saw a dog. Its name was Fido.,negation,1,1,18.97553
35,Susan didn't see a dog. Its name was Fido.,negation,1,0,22.087847
36,Richard saw a dog. The dog liked to swim in lakes.,negation,0,1,29.494497
36,Richard didn't see a dog. The dog liked to swim in lakes.,negation,0,0,30.731266
37,Richard saw a dog. It liked to swim in lakes.,negation,1,1,27.519785
37,Richard didn't see a dog. It liked to swim in lakes.,negation,1,0,29.0164
38,Sarah saw a dog. The dog loved cheese.,negation,0,1,21.484165
38,Sarah didn't see a dog. The dog loved cheese.,negation,0,0,23.272346
39,Sarah saw a dog. It loved cheese.,negation,1,1,19.940195
39,Sarah didn't see a dog. It loved cheese.,negation,1,0,23.597717
40,Richard kicked a dog. The dog had a long tail.,negation,0,1,17.232819
40,Richard didn't kick a dog. The dog had a long tail.,negation,0,0,19.574226
41,Richard kicked a dog. It had a long tail.,negation,1,1,15.871008
41,Richard didn't kick a dog. It had a long tail.,negation,1,0,17.36929
42,John kicked a dog. The dog had a red collar.,negation,0,1,20.601692
42,John didn't kick a dog. The dog had a red collar.,negation,0,0,22.782587
43,John kicked a dog. It had a red collar.,negation,1,1,19.137285
43,John didn't kick a dog. It had a red collar.,negation,1,0,21.17648
44,Jessica kicked a dog. The dog had a blind eye.,negation,0,1,22.267275
