pair_id,sentence,type,preferred,ll,np_ll
0,"With proper equipment, scuba-diving is very ||| safe ||| .",negation-natural,1,20.270573,1.412316
0,"With proper equipment, scuba-diving isn't very ||| safe ||| .",negation-natural,0,20.29139,0.8866421
1,"With proper equipment, scuba-diving isn't very ||| dangerous ||| .",negation-natural,1,17.726608,1.5218241
1,"With proper equipment, scuba-diving is very ||| dangerous ||| .",negation-natural,0,19.466993,1.7148746
1,Traveling in Baghdad is very ||| dangerous ||| .,negation-natural,1,18.447918,2.5917263
1,Traveling in Baghdad isn't very ||| dangerous ||| .,negation-natural,0,19.78399,2.5490158
2,Traveling in Baghdad isn't very ||| safe ||| .,negation-natural,1,19.914392,1.2630857
2,Traveling in Baghdad is very ||| safe ||| .,negation-natural,0,22.590092,1.5852907
2,"In moderation, drinking red wine is ||| good ||| .",negation-natural,1,16.423595,1.7933912
2,"In moderation, drinking red wine isn't ||| good ||| .",negation-natural,0,18.669172,1.6559325
3,"In moderation, drinking red wine isn't ||| bad ||| .",negation-natural,1,17.220993,1.57459
3,"In moderation, drinking red wine is ||| bad ||| .",negation-natural,0,17.238928,1.4855858
3,Drinking tap water in developing countries is very ||| dangerous ||| .,negation-natural,1,19.801453,2.8010244
3,Drinking tap water in developing countries isn't very ||| dangerous ||| .,negation-natural,0,21.784065,2.673724
4,Drinking tap water in developing countries isn't very ||| safe ||| .,negation-natural,1,19.631517,1.2615497
4,Drinking tap water in developing countries is very ||| safe ||| .,negation-natural,0,23.01641,1.6839824
4,Secondhand furniture is very ||| cheap ||| .,negation-natural,1,19.123175,3.5423322
4,Secondhand furniture isn't very ||| cheap ||| .,negation-natural,0,19.496382,3.391164
5,Secondhand furniture isn't very ||| expensive ||| .,negation-natural,1,15.49126,1.637622
5,Secondhand furniture is very ||| expensive ||| .,negation-natural,0,14.546759,1.4558944
5,Most smokers find that quitting is very ||| difficult ||| .,negation-natural,1,15.993605,2.9091473
5,Most smokers find that quitting isn't very ||| difficult ||| .,negation-natural,0,16.331318,2.7964146
6,Most smokers find that quitting isn't very ||| easy ||| .,negation-natural,1,19.190214,1.1680015
6,Most smokers find that quitting is very ||| easy ||| .,negation-natural,0,16.804863,1.7229943
6,Old computers may be ||| slow ||| .,negation-natural,1,15.259603,5.7759256
6,Old computers may not be ||| slow ||| .,negation-natural,0,14.250189,5.4450235
7,Old computers may not be ||| fast ||| .,negation-natural,1,19.542082,3.1122987
7,Old computers may be ||| fast ||| .,negation-natural,0,20.811205,3.0911849
7,A fast food dinner on a first date is very ||| lame ||| .,negation-natural,1,23.459272,1.8922299
7,A fast food dinner on a first date isn't very ||| lame ||| .,negation-natural,0,24.79272,1.9907253
8,A fast food dinner on a first date isn't very ||| romantic ||| .,negation-natural,1,19.265924,2.3406854
8,A fast food dinner on a first date is very ||| romantic ||| .,negation-natural,0,19.973967,2.4166284
8,Bulletproof vests are very ||| safe ||| .,negation-natural,1,20.580843,1.8634399
8,Bulletproof vests aren't very ||| safe ||| .,negation-natural,0,20.30653,1.5581821
9,Bulletproof vests aren't very ||| dangerous ||| .,negation-natural,1,21.597824,3.3269997
9,Bulletproof vests are very ||| dangerous ||| .,negation-natural,0,22.202528,3.1143553
9,Terrorist bomb attacks are really ||| dangerous ||| .,negation-natural,1,18.545366,3.5636494
9,Terrorist bomb attacks aren't really ||| dangerous ||| .,negation-natural,0,20.41608,3.2156377
10,Terrorist bomb attacks aren't really ||| safe ||| .,negation-natural,1,19.291195,1.7675735
10,Terrorist bomb attacks are really ||| safe ||| .,negation-natural,0,21.700544,1.7672294
10,Vitamins and proteins are very ||| good ||| .,negation-natural,1,16.964626,1.9550054
10,Vitamins and proteins aren't very ||| good ||| .,negation-natural,0,15.894631,1.7849483
11,Vitamins and proteins aren't very ||| bad ||| .,negation-natural,1,18.337639,1.4129072
11,Vitamins and proteins are very ||| bad ||| .,negation-natural,0,19.660051,1.9296062
11,Using strong suntan lotion is ||| safe ||| .,negation-natural,1,11.320701,3.1848223
