pair_id,sentence,type,pronoun,preferred,noun,verb,ll,np_ll
1,John owned a dog. ||| He ,negation,1,1,dog,own,8.215528,0.0
1,John didn't own a dog. ||| He ,negation,1,0,dog,own,8.113262,0.0
3,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,7.588832,0.0
3,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,7.9043717,0.0
5,Susan owned a dog. ||| She ,negation,1,1,dog,own,7.890691,0.0
5,Susan didn't own a dog. ||| She ,negation,1,0,dog,own,7.8345404,0.0
7,Bill owned a dog. ||| He ,negation,1,1,dog,own,8.385162,0.0
7,Bill didn't own a dog. ||| He ,negation,1,0,dog,own,8.506241,0.0
9,David owned a dog. ||| He ,negation,1,1,dog,own,8.125552,0.0
9,David didn't own a dog. ||| He ,negation,1,0,dog,own,8.237813,0.0
11,Linda owned a dog. ||| She ,negation,1,1,dog,own,7.362937,0.0
11,Linda didn't own a dog. ||| She ,negation,1,0,dog,own,8.09292,0.0
13,Bob owned a dog. ||| He ,negation,1,1,dog,own,8.098546,0.0
13,Bob didn't own a dog. ||| He ,negation,1,0,dog,own,8.003018,0.0
15,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,7.588832,0.0
15,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,7.9043717,0.0
17,Sarah owned a dog. ||| She ,negation,1,1,dog,own,7.8381023,0.0
17,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.046713,0.0
19,Sarah owned a dog. ||| She ,negation,1,1,dog,own,7.8381023,0.0
19,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.046713,0.0
21,Bob saw a dog. ||| He ,negation,1,1,dog,see,7.58899,0.0
21,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,7.450423,0.0
23,Linda saw a dog. ||| She ,negation,1,1,dog,see,7.57932,0.0
23,Linda didn't see a dog. ||| She ,negation,1,0,dog,see,7.203171,0.0
25,Jennifer saw a dog. ||| She ,negation,1,1,dog,see,7.6460443,0.0
25,Jennifer didn't see a dog. ||| She ,negation,1,0,dog,see,7.0333214,0.0
27,Thomas saw a dog. ||| He ,negation,1,1,dog,see,8.248658,0.0
27,Thomas didn't see a dog. ||| He ,negation,1,0,dog,see,8.085182,0.0
29,Bob saw a dog. ||| He ,negation,1,1,dog,see,7.58899,0.0
29,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,7.450423,0.0
31,Susan saw a dog. ||| She ,negation,1,1,dog,see,7.6106954,0.0
31,Susan didn't see a dog. ||| She ,negation,1,0,dog,see,7.07738,0.0
33,Susan saw a dog. ||| She ,negation,1,1,dog,see,7.6106954,0.0
33,Susan didn't see a dog. ||| She ,negation,1,0,dog,see,7.07738,0.0
35,Chris saw a dog. ||| He ,negation,1,1,dog,see,7.7961626,0.0
35,Chris didn't see a dog. ||| He ,negation,1,0,dog,see,7.5867615,0.0
37,Karen saw a dog. ||| She ,negation,1,1,dog,see,7.693667,0.0
37,Karen didn't see a dog. ||| She ,negation,1,0,dog,see,7.2578216,0.0
39,Thomas saw a dog. ||| He ,negation,1,1,dog,see,8.248658,0.0
39,Thomas didn't see a dog. ||| He ,negation,1,0,dog,see,8.085182,0.0
41,Richard kicked a dog. ||| He ,negation,1,1,dog,kick,9.112134,0.0
41,Richard didn't kick a dog. ||| He ,negation,1,0,dog,kick,7.935993,0.0
43,Bob kicked a dog. ||| He ,negation,1,1,dog,kick,9.019356,0.0
43,Bob didn't kick a dog. ||| He ,negation,1,0,dog,kick,7.7834516,0.0
45,Elizabeth kicked a dog. ||| She ,negation,1,1,dog,kick,9.318686,0.0
45,Elizabeth didn't kick a dog. ||| She ,negation,1,0,dog,kick,7.720158,0.0
47,Nancy kicked a dog. ||| She ,negation,1,1,dog,kick,8.829511,0.0
47,Nancy didn't kick a dog. ||| She ,negation,1,0,dog,kick,7.934197,0.0
49,Thomas kicked a dog. ||| He ,negation,1,1,dog,kick,9.335444,0.0
49,Thomas didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.546399,0.0
51,Linda kicked a dog. ||| She ,negation,1,1,dog,kick,8.360928,0.0
51,Linda didn't kick a dog. ||| She ,negation,1,0,dog,kick,7.585355,0.0
53,Chris kicked a dog. ||| He ,negation,1,1,dog,kick,9.030693,0.0
53,Chris didn't kick a dog. ||| He ,negation,1,0,dog,kick,7.9804096,0.0
55,Mary kicked a dog. ||| She ,negation,1,1,dog,kick,9.117652,0.0
55,Mary didn't kick a dog. ||| She ,negation,1,0,dog,kick,7.531374,0.0
57,Mary kicked a dog. ||| She ,negation,1,1,dog,kick,9.117652,0.0
57,Mary didn't kick a dog. ||| She ,negation,1,0,dog,kick,7.531374,0.0
59,Bob kicked a dog. ||| He ,negation,1,1,dog,kick,9.019356,0.0
59,Bob didn't kick a dog. ||| He ,negation,1,0,dog,kick,7.7834516,0.0
61,Jessica brought a dog. ||| She ,negation,1,1,dog,bring,8.466265,0.0
61,Jessica didn't bring a dog. ||| She ,negation,1,0,dog,bring,7.0975657,0.0
63,Richard brought a dog. ||| He ,negation,1,1,dog,bring,8.95647,0.0
63,Richard didn't bring a dog. ||| He ,negation,1,0,dog,bring,7.621132,0.0
65,Bob brought a dog. ||| He ,negation,1,1,dog,bring,9.09488,0.0
65,Bob didn't bring a dog. ||| He ,negation,1,0,dog,bring,7.665324,0.0
67,Mary brought a dog. ||| She ,negation,1,1,dog,bring,8.471688,0.0
67,Mary didn't bring a dog. ||| She ,negation,1,0,dog,bring,7.251591,0.0
69,Mary brought a dog. ||| She ,negation,1,1,dog,bring,8.471688,0.0
69,Mary didn't bring a dog. ||| She ,negation,1,0,dog,bring,7.251591,0.0
71,Richard brought a dog. ||| He ,negation,1,1,dog,bring,8.95647,0.0
71,Richard didn't bring a dog. ||| He ,negation,1,0,dog,bring,7.621132,0.0
73,Elizabeth brought a dog. ||| She ,negation,1,1,dog,bring,8.86583,0.0
