id,type,sample,order,model,prompt,generation,Noun 1,Noun 2,Noun 1 COREF,Noun 1 NEW,Noun 1 MODAL,Noun 2 COREF,Noun 2 NEW,Noun 2 MODAL,Ambiguous COREF,Neither mentioned,
1_dog_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,John owns a dog but he doesn't own a cat. The,"John owns a dog but he doesn't own a cat. The cat is named Piggly Wiggly, and it's named after the character who is featured on the first episode of the TV show, ""Scooby Doo"" (which I found was actually called ""The Adventures of Lazer Team"").",dog,cat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_affirmative_negation_ref,affirmative_negation,1,2,gpt2-xl,John owns a cat but he doesn't own a dog. The,"John owns a cat but he doesn't own a dog. The cat has his ID - he pays for that in full, but he doesn't own the dog, because he hasn't signed the dog license.",dog,cat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_negation_affirmative_ref,negation_affirmative,1,1,gpt2-xl,John doesn't own a dog but he owns a cat. The,John doesn't own a dog but he owns a cat. The cat knows about the dog and will do nothing with us.,dog,cat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_negation_affirmative_ref,negation_affirmative,1,2,gpt2-xl,John doesn't own a cat but he owns a dog. The,"John doesn't own a cat but he owns a dog. The name of the dog is Moochie, and he is a 10-year-old English terrier.",dog,cat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1_dog_know_doubt_ref,know_doubt,1,1,gpt2-xl,I know that John owns a dog but I doubt that he owns a cat. The,"I know that John owns a dog but I doubt that he owns a cat. The chances are, neither does this cat.",dog,cat,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
1_dog_know_doubt_ref,know_doubt,1,2,gpt2-xl,I know that John owns a cat but I doubt that he owns a dog. The,I know that John owns a cat but I doubt that he owns a dog. The dog would have been around for some years before John could have bought a pet.,dog,cat,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
1_dog_doubt_know_ref,doubt_know,1,1,gpt2-xl,I doubt that John owns a dog but I know that he owns a cat. The,"I doubt that John owns a dog but I know that he owns a cat. The cat will be able to sniff out John's car as it passes a house, thereby alerting John that the cat should be allowed into the house.",dog,cat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_doubt_know_ref,doubt_know,1,2,gpt2-xl,I doubt that John owns a cat but I know that he owns a dog. The,I doubt that John owns a cat but I know that he owns a dog. The dog is part of his family.,dog,cat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1_dog_affirmative_modal_ref,affirmative_modal,1,1,gpt2-xl,John owns a dog but he wants to own a cat. The,"John owns a dog but he wants to own a cat. The woman doesn't want the father to be a dog owner, but the woman has three boys.",dog,cat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
1_dog_affirmative_modal_ref,affirmative_modal,1,2,gpt2-xl,John owns a cat but he wants to own a dog. The,"John owns a cat but he wants to own a dog. The problem is that the local council says that cats cannot be kept inside, and that no dog can be kept inside either.",dog,cat,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
1_dog_modal_affirmative_ref,modal_affirmative,1,1,gpt2-xl,John wants to own a dog but he owns a cat. The,"John wants to own a dog but he owns a cat. The cat is a ""stubborn, loyal little monster"" and John's wife is dead broke.",dog,cat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_modal_affirmative_ref,modal_affirmative,1,2,gpt2-xl,John wants to own a cat but he owns a dog. The,John wants to own a cat but he owns a dog. The dog doesn't look like his favorite kitty.,dog,cat,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
1_dog_managed_failed_ref,managed_failed,1,1,gpt2-xl,John managed to adopt a dog but failed to adopt a cat. The,John managed to adopt a dog but failed to adopt a cat. The animals lived in a small wooden enclosure in the back.,dog,cat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_managed_failed_ref,managed_failed,1,2,gpt2-xl,John managed to adopt a cat but failed to adopt a dog. The,John managed to adopt a cat but failed to adopt a dog. The latter would be his true love and his new family.,dog,cat,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
1_dog_failed_managed_ref,failed_managed,1,1,gpt2-xl,John failed to adopt a dog but managed to adopt a cat. The,"John failed to adopt a dog but managed to adopt a cat. The cat, named Daisy, was actually named after his daughter when she had her first year of college because she thought it would be a funny idea for a joke.",dog,cat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
1_dog_failed_managed_ref,failed_managed,1,2,gpt2-xl,John failed to adopt a cat but managed to adopt a dog. The,John failed to adopt a cat but managed to adopt a dog. The two were adopted together.,dog,cat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
2_car_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,Lucy has a car but she doesn't have a bike. The,Lucy has a car but she doesn't have a bike. The two were the only members of their community to get a bicycle.,car,bike,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
