pair_id,sentence,type,pronoun,preferred,noun,verb,ll,np_ll
1,John owned a dog. ||| He ,negation,1,1,dog,own,8.039141,0.0
1,John didn't own a dog. ||| He ,negation,1,0,dog,own,8.357341,0.0
3,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.197322,0.0
3,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.639264,0.0
5,Susan owned a dog. ||| She ,negation,1,1,dog,own,8.234243,0.0
5,Susan didn't own a dog. ||| She ,negation,1,0,dog,own,8.6292515,0.0
7,Bill owned a dog. ||| He ,negation,1,1,dog,own,8.245357,0.0
7,Bill didn't own a dog. ||| He ,negation,1,0,dog,own,8.351014,0.0
9,David owned a dog. ||| He ,negation,1,1,dog,own,8.085781,0.0
9,David didn't own a dog. ||| He ,negation,1,0,dog,own,8.372726,0.0
11,Linda owned a dog. ||| She ,negation,1,1,dog,own,7.7110677,0.0
11,Linda didn't own a dog. ||| She ,negation,1,0,dog,own,8.449011,0.0
13,Bob owned a dog. ||| He ,negation,1,1,dog,own,7.913411,0.0
13,Bob didn't own a dog. ||| He ,negation,1,0,dog,own,7.8826313,0.0
15,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.197322,0.0
15,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.639264,0.0
17,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.013018,0.0
17,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.681578,0.0
19,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.013018,0.0
19,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.681578,0.0
21,Bob saw a dog. ||| He ,negation,1,1,dog,see,7.229039,0.0
21,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,7.1297383,0.0
23,Linda saw a dog. ||| She ,negation,1,1,dog,see,7.397546,0.0
23,Linda didn't see a dog. ||| She ,negation,1,0,dog,see,7.6897798,0.0
25,Jennifer saw a dog. ||| She ,negation,1,1,dog,see,7.913044,0.0
25,Jennifer didn't see a dog. ||| She ,negation,1,0,dog,see,7.771723,0.0
27,Thomas saw a dog. ||| He ,negation,1,1,dog,see,8.356382,0.0
27,Thomas didn't see a dog. ||| He ,negation,1,0,dog,see,8.516168,0.0
29,Bob saw a dog. ||| He ,negation,1,1,dog,see,7.229039,0.0
29,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,7.1297383,0.0
