pair_id,sentence,type,pronoun,preferred,noun,ll
0,Chris owned a dog and the dog had a long tail.,negation,0,1,dog,18.842619
0,Chris didn't own a dog and the dog had a long tail.,negation,0,0,dog,18.556318
1,Chris owned a dog and it had a long tail.,negation,1,1,dog,17.228666
1,Chris didn't own a dog and it had a long tail.,negation,1,0,dog,17.56933
2,Bill owned a dog and the dog had a red collar.,negation,0,1,dog,21.371725
2,Bill didn't own a dog and the dog had a red collar.,negation,0,0,dog,21.593296
3,Bill owned a dog and it had a red collar.,negation,1,1,dog,18.341558
3,Bill didn't own a dog and it had a red collar.,negation,1,0,dog,19.483675
4,Sarah owned a dog and the dog had a blind eye.,negation,0,1,dog,23.366268
4,Sarah didn't own a dog and the dog had a blind eye.,negation,0,0,dog,23.659098
5,Sarah owned a dog and it had a blind eye.,negation,1,1,dog,21.286987
5,Sarah didn't own a dog and it had a blind eye.,negation,1,0,dog,22.573938
6,Sarah owned a dog and the dog had a shrill voice.,negation,0,1,dog,27.789145
6,Sarah didn't own a dog and the dog had a shrill voice.,negation,0,0,dog,28.076834
7,Sarah owned a dog and it had a shrill voice.,negation,1,1,dog,25.740221
7,Sarah didn't own a dog and it had a shrill voice.,negation,1,0,dog,26.673077
8,Bill owned a dog and the dog had a colorful back.,negation,0,1,dog,28.288074
8,Bill didn't own a dog and the dog had a colorful back.,negation,0,0,dog,27.975327
9,Bill owned a dog and it had a colorful back.,negation,1,1,dog,25.186909
9,Bill didn't own a dog and it had a colorful back.,negation,1,0,dog,25.537525
10,Jennifer owned a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,32.299995
10,Jennifer didn't own a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,32.142612
11,Jennifer owned a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,31.434752
11,Jennifer didn't own a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,32.003353
12,Jennifer owned a dog and the dog preferred fish over other food.,negation,0,1,dog,34.940308
12,Jennifer didn't own a dog and the dog preferred fish over other food.,negation,0,0,dog,34.941357
13,Jennifer owned a dog and it preferred fish over other food.,negation,1,1,dog,33.817642
13,Jennifer didn't own a dog and it preferred fish over other food.,negation,1,0,dog,34.656857
14,Jessica owned a dog and the dog's name was Fido.,negation,0,1,dog,22.174711
14,Jessica didn't own a dog and the dog's name was Fido.,negation,0,0,dog,21.852411
15,Jessica owned a dog and its name was Fido.,negation,1,1,dog,21.551502
15,Jessica didn't own a dog and its name was Fido.,negation,1,0,dog,21.916182
16,Elizabeth owned a dog and the dog liked to swim in lakes.,negation,0,1,dog,29.05201
16,Elizabeth didn't own a dog and the dog liked to swim in lakes.,negation,0,0,dog,28.95076
17,Elizabeth owned a dog and it liked to swim in lakes.,negation,1,1,dog,27.32491
17,Elizabeth didn't own a dog and it liked to swim in lakes.,negation,1,0,dog,28.114391
18,Elizabeth owned a dog and the dog loved cheese.,negation,0,1,dog,22.218433
18,Elizabeth didn't own a dog and the dog loved cheese.,negation,0,0,dog,22.987318
19,Elizabeth owned a dog and it loved cheese.,negation,1,1,dog,20.765839
19,Elizabeth didn't own a dog and it loved cheese.,negation,1,0,dog,23.173498
20,James saw a dog and the dog had a long tail.,negation,0,1,dog,17.8454
20,James didn't see a dog and the dog had a long tail.,negation,0,0,dog,18.096704
21,James saw a dog and it had a long tail.,negation,1,1,dog,16.004107
21,James didn't see a dog and it had a long tail.,negation,1,0,dog,16.060253
22,Thomas saw a dog and the dog had a red collar.,negation,0,1,dog,21.348612
22,Thomas didn't see a dog and the dog had a red collar.,negation,0,0,dog,21.20086
23,Thomas saw a dog and it had a red collar.,negation,1,1,dog,19.428915
23,Thomas didn't see a dog and it had a red collar.,negation,1,0,dog,19.234173
24,Richard saw a dog and the dog had a blind eye.,negation,0,1,dog,22.854347
24,Richard didn't see a dog and the dog had a blind eye.,negation,0,0,dog,23.444965
25,Richard saw a dog and it had a blind eye.,negation,1,1,dog,21.415672
25,Richard didn't see a dog and it had a blind eye.,negation,1,0,dog,21.809914
26,Sarah saw a dog and the dog had a shrill voice.,negation,0,1,dog,26.668749
26,Sarah didn't see a dog and the dog had a shrill voice.,negation,0,0,dog,26.804996
27,Sarah saw a dog and it had a shrill voice.,negation,1,1,dog,25.110136
27,Sarah didn't see a dog and it had a shrill voice.,negation,1,0,dog,24.94058
28,Thomas saw a dog and the dog had a colorful back.,negation,0,1,dog,28.227371
28,Thomas didn't see a dog and the dog had a colorful back.,negation,0,0,dog,27.619617
29,Thomas saw a dog and it had a colorful back.,negation,1,1,dog,25.93079
29,Thomas didn't see a dog and it had a colorful back.,negation,1,0,dog,25.227768
30,Barbara saw a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,32.887146
30,Barbara didn't see a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,32.90324
31,Barbara saw a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,32.102684
31,Barbara didn't see a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.257439
32,Jessica saw a dog and the dog preferred fish over other food.,negation,0,1,dog,35.19795
32,Jessica didn't see a dog and the dog preferred fish over other food.,negation,0,0,dog,34.571747
33,Jessica saw a dog and it preferred fish over other food.,negation,1,1,dog,34.161114
33,Jessica didn't see a dog and it preferred fish over other food.,negation,1,0,dog,33.813164
34,Susan saw a dog and the dog's name was Fido.,negation,0,1,dog,20.461681
34,Susan didn't see a dog and the dog's name was Fido.,negation,0,0,dog,21.133429
35,Susan saw a dog and its name was Fido.,negation,1,1,dog,21.528719
35,Susan didn't see a dog and its name was Fido.,negation,1,0,dog,21.213408
36,Linda saw a dog and the dog liked to swim in lakes.,negation,0,1,dog,31.878847
36,Linda didn't see a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.813288
37,Linda saw a dog and it liked to swim in lakes.,negation,1,1,dog,30.520912
37,Linda didn't see a dog and it liked to swim in lakes.,negation,1,0,dog,29.34134
38,Nancy saw a dog and the dog loved cheese.,negation,0,1,dog,23.985403
38,Nancy didn't see a dog and the dog loved cheese.,negation,0,0,dog,23.735806
39,Nancy saw a dog and it loved cheese.,negation,1,1,dog,22.868958
39,Nancy didn't see a dog and it loved cheese.,negation,1,0,dog,23.16645
40,Jennifer kicked a dog and the dog had a long tail.,negation,0,1,dog,20.047993
40,Jennifer didn't kick a dog and the dog had a long tail.,negation,0,0,dog,19.792309
41,Jennifer kicked a dog and it had a long tail.,negation,1,1,dog,18.654125
41,Jennifer didn't kick a dog and it had a long tail.,negation,1,0,dog,17.32664
42,Chris kicked a dog and the dog had a red collar.,negation,0,1,dog,24.910177
42,Chris didn't kick a dog and the dog had a red collar.,negation,0,0,dog,23.692923
43,Chris kicked a dog and it had a red collar.,negation,1,1,dog,22.788538
43,Chris didn't kick a dog and it had a red collar.,negation,1,0,dog,21.561384
44,Bill kicked a dog and the dog had a blind eye.,negation,0,1,dog,25.537964
44,Bill didn't kick a dog and the dog had a blind eye.,negation,0,0,dog,25.709675
45,Bill kicked a dog and it had a blind eye.,negation,1,1,dog,24.049805
45,Bill didn't kick a dog and it had a blind eye.,negation,1,0,dog,23.094648
46,Linda kicked a dog and the dog had a shrill voice.,negation,0,1,dog,30.473818
46,Linda didn't kick a dog and the dog had a shrill voice.,negation,0,0,dog,29.279886
47,Linda kicked a dog and it had a shrill voice.,negation,1,1,dog,29.390188
47,Linda didn't kick a dog and it had a shrill voice.,negation,1,0,dog,27.305704
48,David kicked a dog and the dog had a colorful back.,negation,0,1,dog,29.761078
48,David didn't kick a dog and the dog had a colorful back.,negation,0,0,dog,28.640701
49,David kicked a dog and it had a colorful back.,negation,1,1,dog,27.733917
49,David didn't kick a dog and it had a colorful back.,negation,1,0,dog,25.975506
50,Elizabeth kicked a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,34.394836
50,Elizabeth didn't kick a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,33.24185
51,Elizabeth kicked a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,33.663006
51,Elizabeth didn't kick a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.547466
52,Jennifer kicked a dog and the dog preferred fish over other food.,negation,0,1,dog,36.834503
52,Jennifer didn't kick a dog and the dog preferred fish over other food.,negation,0,0,dog,35.79999
53,Jennifer kicked a dog and it preferred fish over other food.,negation,1,1,dog,36.48049
53,Jennifer didn't kick a dog and it preferred fish over other food.,negation,1,0,dog,34.826603
54,Nancy kicked a dog and the dog's name was Fido.,negation,0,1,dog,24.975906
54,Nancy didn't kick a dog and the dog's name was Fido.,negation,0,0,dog,24.487272
55,Nancy kicked a dog and its name was Fido.,negation,1,1,dog,25.332043
55,Nancy didn't kick a dog and its name was Fido.,negation,1,0,dog,25.048283
56,Barbara kicked a dog and the dog liked to swim in lakes.,negation,0,1,dog,36.294323
56,Barbara didn't kick a dog and the dog liked to swim in lakes.,negation,0,0,dog,33.737114
57,Barbara kicked a dog and it liked to swim in lakes.,negation,1,1,dog,34.38269
57,Barbara didn't kick a dog and it liked to swim in lakes.,negation,1,0,dog,30.343971
58,Jennifer kicked a dog and the dog loved cheese.,negation,0,1,dog,26.852173
58,Jennifer didn't kick a dog and the dog loved cheese.,negation,0,0,dog,23.916204
59,Jennifer kicked a dog and it loved cheese.,negation,1,1,dog,25.325481
59,Jennifer didn't kick a dog and it loved cheese.,negation,1,0,dog,23.222408
60,Jennifer brought a dog and the dog had a long tail.,negation,0,1,dog,19.8488
60,Jennifer didn't bring a dog and the dog had a long tail.,negation,0,0,dog,18.98797
61,Jennifer brought a dog and it had a long tail.,negation,1,1,dog,18.870445
61,Jennifer didn't bring a dog and it had a long tail.,negation,1,0,dog,17.320004
62,Susan brought a dog and the dog had a red collar.,negation,0,1,dog,22.48685
62,Susan didn't bring a dog and the dog had a red collar.,negation,0,0,dog,21.83863
63,Susan brought a dog and it had a red collar.,negation,1,1,dog,21.281185
63,Susan didn't bring a dog and it had a red collar.,negation,1,0,dog,19.758385
64,Richard brought a dog and the dog had a blind eye.,negation,0,1,dog,24.500895
64,Richard didn't bring a dog and the dog had a blind eye.,negation,0,0,dog,23.968388
65,Richard brought a dog and it had a blind eye.,negation,1,1,dog,23.667234
65,Richard didn't bring a dog and it had a blind eye.,negation,1,0,dog,22.335373
66,Barbara brought a dog and the dog had a shrill voice.,negation,0,1,dog,28.414677
66,Barbara didn't bring a dog and the dog had a shrill voice.,negation,0,0,dog,27.497807
67,Barbara brought a dog and it had a shrill voice.,negation,1,1,dog,27.597425
67,Barbara didn't bring a dog and it had a shrill voice.,negation,1,0,dog,25.79201
68,Jennifer brought a dog and the dog had a colorful back.,negation,0,1,dog,28.529936
68,Jennifer didn't bring a dog and the dog had a colorful back.,negation,0,0,dog,27.757376
69,Jennifer brought a dog and it had a colorful back.,negation,1,1,dog,26.950863
69,Jennifer didn't bring a dog and it had a colorful back.,negation,1,0,dog,25.453968
70,James brought a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,33.26586
70,James didn't bring a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,33.137966
71,James brought a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,32.582394
71,James didn't bring a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.892782
72,Nancy brought a dog and the dog preferred fish over other food.,negation,0,1,dog,36.56234
72,Nancy didn't bring a dog and the dog preferred fish over other food.,negation,0,0,dog,35.227077
73,Nancy brought a dog and it preferred fish over other food.,negation,1,1,dog,35.152016
73,Nancy didn't bring a dog and it preferred fish over other food.,negation,1,0,dog,33.048187
74,Jennifer brought a dog and the dog's name was Fido.,negation,0,1,dog,22.924458
74,Jennifer didn't bring a dog and the dog's name was Fido.,negation,0,0,dog,22.653254
75,Jennifer brought a dog and its name was Fido.,negation,1,1,dog,27.046654
75,Jennifer didn't bring a dog and its name was Fido.,negation,1,0,dog,23.640835
76,Chris brought a dog and the dog liked to swim in lakes.,negation,0,1,dog,31.96524
76,Chris didn't bring a dog and the dog liked to swim in lakes.,negation,0,0,dog,30.962605
77,Chris brought a dog and it liked to swim in lakes.,negation,1,1,dog,30.653683
77,Chris didn't bring a dog and it liked to swim in lakes.,negation,1,0,dog,30.089073
78,Jessica brought a dog and the dog loved cheese.,negation,0,1,dog,24.471104
78,Jessica didn't bring a dog and the dog loved cheese.,negation,0,0,dog,23.067825
79,Jessica brought a dog and it loved cheese.,negation,1,1,dog,23.053093
79,Jessica didn't bring a dog and it loved cheese.,negation,1,0,dog,23.401617
80,Bill got a dog and the dog had a long tail.,negation,0,1,dog,20.51807
80,Bill didn't get a dog and the dog had a long tail.,negation,0,0,dog,20.110802
81,Bill got a dog and it had a long tail.,negation,1,1,dog,17.868185
81,Bill didn't get a dog and it had a long tail.,negation,1,0,dog,17.607777
82,John got a dog and the dog had a red collar.,negation,0,1,dog,22.037045
82,John didn't get a dog and the dog had a red collar.,negation,0,0,dog,22.140978
83,John got a dog and it had a red collar.,negation,1,1,dog,19.370094
83,John didn't get a dog and it had a red collar.,negation,1,0,dog,19.865358
84,Jessica got a dog and the dog had a blind eye.,negation,0,1,dog,24.034296
84,Jessica didn't get a dog and the dog had a blind eye.,negation,0,0,dog,23.42126
85,Jessica got a dog and it had a blind eye.,negation,1,1,dog,22.248034
85,Jessica didn't get a dog and it had a blind eye.,negation,1,0,dog,22.591927
86,Jessica got a dog and the dog had a shrill voice.,negation,0,1,dog,27.7708
86,Jessica didn't get a dog and the dog had a shrill voice.,negation,0,0,dog,27.423084
87,Jessica got a dog and it had a shrill voice.,negation,1,1,dog,25.570948
87,Jessica didn't get a dog and it had a shrill voice.,negation,1,0,dog,26.104303
88,James got a dog and the dog had a colorful back.,negation,0,1,dog,28.499378
88,James didn't get a dog and the dog had a colorful back.,negation,0,0,dog,27.976746
89,James got a dog and it had a colorful back.,negation,1,1,dog,25.580826
89,James didn't get a dog and it had a colorful back.,negation,1,0,dog,25.479233
90,Barbara got a dog and the dog enjoyed frolicking in the forest.,negation,0,1,dog,32.376762
90,Barbara didn't get a dog and the dog enjoyed frolicking in the forest.,negation,0,0,dog,32.48472
91,Barbara got a dog and it enjoyed frolicking in the forest.,negation,1,1,dog,31.192533
91,Barbara didn't get a dog and it enjoyed frolicking in the forest.,negation,1,0,dog,31.404985
92,Karen got a dog and the dog preferred fish over other food.,negation,0,1,dog,36.669586
92,Karen didn't get a dog and the dog preferred fish over other food.,negation,0,0,dog,35.514137
93,Karen got a dog and it preferred fish over other food.,negation,1,1,dog,35.54148
93,Karen didn't get a dog and it preferred fish over other food.,negation,1,0,dog,34.52589
94,Joseph got a dog and the dog's name was Fido.,negation,0,1,dog,21.165026
