workerid,proliferate.condition,alternative,correct,order,path,rt,trial_id,trial_no,word,word_idx,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
469,list8,x-x-x,1,0,0,15857,practice_01,0,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,configured,1,0,0,3495,practice_01,0,babysitter,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,calm,1,1,0,1878,practice_01,0,gave,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,else,1,0,0,886,practice_01,0,the,3,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,announces,1,1,0,1292,practice_01,0,screaming,4,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,intends,1,0,0,841,practice_01,0,toddler,5,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,pre,1,0,0,1215,practice_01,0,a,6,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,democrats.,1,0,0,1063,practice_01,0,chocolate.,7,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,x-x-x,1,0,0,1443,practice_02,1,The,0,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,propelled,1,0,0,889,practice_02,1,lifeguard,1,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
469,list8,glad,1,1,0,974,practice_02,1,kept,2,[],7,25,Yes,,3,1,$4,Female,english,,no,Chrome,Mac,900,1440,7.203733333333333,
