pair_id,sentence,type,pronoun,preferred,noun,verb
0,Michael owned a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,own
0,Michael didn't own a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,own
1,Michael owned a dog ||| . It  ||| had a long tail.,negation,1,1,dog,own
1,Michael didn't own a dog ||| . It  ||| had a long tail.,negation,1,0,dog,own
2,Bill owned a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,own
2,Bill didn't own a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,own
3,Bill owned a dog ||| . It  ||| had a red collar.,negation,1,1,dog,own
3,Bill didn't own a dog ||| . It  ||| had a red collar.,negation,1,0,dog,own
4,Richard owned a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,own
4,Richard didn't own a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,own
5,Richard owned a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,own
5,Richard didn't own a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,own
6,Susan owned a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,own
6,Susan didn't own a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,own
7,Susan owned a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,own
7,Susan didn't own a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,own
8,Sarah owned a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,own
8,Sarah didn't own a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,own
9,Sarah owned a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,own
9,Sarah didn't own a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,own
10,Susan owned a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,own
10,Susan didn't own a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,own
11,Susan owned a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,own
11,Susan didn't own a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,own
12,Chris owned a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,own
12,Chris didn't own a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,own
13,Chris owned a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,own
13,Chris didn't own a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,own
14,Karen owned a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,own
14,Karen didn't own a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,own
15,Karen owned a dog ||| . It  ||| was called Fido.,negation,1,1,dog,own
15,Karen didn't own a dog ||| . It  ||| was called Fido.,negation,1,0,dog,own
16,Elizabeth owned a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,own
16,Elizabeth didn't own a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,own
17,Elizabeth owned a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,own
17,Elizabeth didn't own a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,own
18,John owned a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,own
18,John didn't own a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,own
19,John owned a dog ||| . It  ||| loved cheese.,negation,1,1,dog,own
19,John didn't own a dog ||| . It  ||| loved cheese.,negation,1,0,dog,own
20,Jessica saw a dog ||| . The dog  ||| had a long tail.,negation,0,1,dog,see
20,Jessica didn't see a dog ||| . The dog  ||| had a long tail.,negation,0,0,dog,see
21,Jessica saw a dog ||| . It  ||| had a long tail.,negation,1,1,dog,see
21,Jessica didn't see a dog ||| . It  ||| had a long tail.,negation,1,0,dog,see
22,Bill saw a dog ||| . The dog  ||| had a red collar.,negation,0,1,dog,see
22,Bill didn't see a dog ||| . The dog  ||| had a red collar.,negation,0,0,dog,see
23,Bill saw a dog ||| . It  ||| had a red collar.,negation,1,1,dog,see
23,Bill didn't see a dog ||| . It  ||| had a red collar.,negation,1,0,dog,see
24,James saw a dog ||| . The dog  ||| had a blind eye.,negation,0,1,dog,see
24,James didn't see a dog ||| . The dog  ||| had a blind eye.,negation,0,0,dog,see
25,James saw a dog ||| . It  ||| had a blind eye.,negation,1,1,dog,see
25,James didn't see a dog ||| . It  ||| had a blind eye.,negation,1,0,dog,see
26,Linda saw a dog ||| . The dog  ||| had a shrill voice.,negation,0,1,dog,see
26,Linda didn't see a dog ||| . The dog  ||| had a shrill voice.,negation,0,0,dog,see
27,Linda saw a dog ||| . It  ||| had a shrill voice.,negation,1,1,dog,see
27,Linda didn't see a dog ||| . It  ||| had a shrill voice.,negation,1,0,dog,see
28,Michael saw a dog ||| . The dog  ||| had a colorful back.,negation,0,1,dog,see
28,Michael didn't see a dog ||| . The dog  ||| had a colorful back.,negation,0,0,dog,see
29,Michael saw a dog ||| . It  ||| had a colorful back.,negation,1,1,dog,see
29,Michael didn't see a dog ||| . It  ||| had a colorful back.,negation,1,0,dog,see
30,David saw a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,see
30,David didn't see a dog ||| . The dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,see
31,David saw a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,1,dog,see
31,David didn't see a dog ||| . It  ||| enjoyed frolicking in the forest.,negation,1,0,dog,see
32,Susan saw a dog ||| . The dog  ||| preferred fish over other food.,negation,0,1,dog,see
32,Susan didn't see a dog ||| . The dog  ||| preferred fish over other food.,negation,0,0,dog,see
33,Susan saw a dog ||| . It  ||| preferred fish over other food.,negation,1,1,dog,see
33,Susan didn't see a dog ||| . It  ||| preferred fish over other food.,negation,1,0,dog,see
34,Barbara saw a dog ||| . The dog  ||| was called Fido.,negation,0,1,dog,see
34,Barbara didn't see a dog ||| . The dog  ||| was called Fido.,negation,0,0,dog,see
35,Barbara saw a dog ||| . It  ||| was called Fido.,negation,1,1,dog,see
35,Barbara didn't see a dog ||| . It  ||| was called Fido.,negation,1,0,dog,see
36,David saw a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,1,dog,see
36,David didn't see a dog ||| . The dog  ||| liked to swim in lakes.,negation,0,0,dog,see
37,David saw a dog ||| . It  ||| liked to swim in lakes.,negation,1,1,dog,see
37,David didn't see a dog ||| . It  ||| liked to swim in lakes.,negation,1,0,dog,see
38,David saw a dog ||| . The dog  ||| loved cheese.,negation,0,1,dog,see
38,David didn't see a dog ||| . The dog  ||| loved cheese.,negation,0,0,dog,see
