pair_id,sentence,type,pronoun,preferred,noun,verb,ll,np_ll
1,John owned a dog. ||| He ,negation,1,1,dog,own,7.982348,0.0
1,John didn't own a dog. ||| He ,negation,1,0,dog,own,8.174704,0.0
3,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.0215645,0.0
3,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.101245,0.0
5,Susan owned a dog. ||| She ,negation,1,1,dog,own,8.1222315,0.0
5,Susan didn't own a dog. ||| She ,negation,1,0,dog,own,8.179977,0.0
7,Bill owned a dog. ||| He ,negation,1,1,dog,own,7.947264,0.0
7,Bill didn't own a dog. ||| He ,negation,1,0,dog,own,8.164051,0.0
9,David owned a dog. ||| He ,negation,1,1,dog,own,8.2028675,0.0
9,David didn't own a dog. ||| He ,negation,1,0,dog,own,8.157155,0.0
11,Linda owned a dog. ||| She ,negation,1,1,dog,own,7.7920113,0.0
11,Linda didn't own a dog. ||| She ,negation,1,0,dog,own,8.165993,0.0
13,Bob owned a dog. ||| He ,negation,1,1,dog,own,7.975496,0.0
13,Bob didn't own a dog. ||| He ,negation,1,0,dog,own,7.8964186,0.0
15,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.0215645,0.0
15,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.101245,0.0
17,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.058953,0.0
17,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,7.9856763,0.0
19,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.058953,0.0
19,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,7.9856763,0.0
21,Bob saw a dog. ||| He ,negation,1,1,dog,see,7.819955,0.0
21,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,7.3921494,0.0
23,Linda saw a dog. ||| She ,negation,1,1,dog,see,7.8949423,0.0
23,Linda didn't see a dog. ||| She ,negation,1,0,dog,see,7.711292,0.0
25,Jennifer saw a dog. ||| She ,negation,1,1,dog,see,7.982883,0.0
