pair_id,sentence,type,pronoun,preferred,noun,verb,ll,np_ll
1,John owned a dog. ||| He ,negation,1,1,dog,own,7.9454665,0.0
1,John didn't own a dog. ||| He ,negation,1,0,dog,own,8.433492,0.0
3,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.317728,0.0
3,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.589165,0.0
5,Susan owned a dog. ||| She ,negation,1,1,dog,own,8.541984,0.0
5,Susan didn't own a dog. ||| She ,negation,1,0,dog,own,8.670022,0.0
7,Bill owned a dog. ||| He ,negation,1,1,dog,own,8.307127,0.0
7,Bill didn't own a dog. ||| He ,negation,1,0,dog,own,8.420118,0.0
9,David owned a dog. ||| He ,negation,1,1,dog,own,8.189307,0.0
9,David didn't own a dog. ||| He ,negation,1,0,dog,own,8.748817,0.0
11,Linda owned a dog. ||| She ,negation,1,1,dog,own,8.23481,0.0
11,Linda didn't own a dog. ||| She ,negation,1,0,dog,own,8.616972,0.0
13,Bob owned a dog. ||| He ,negation,1,1,dog,own,7.4150877,0.0
13,Bob didn't own a dog. ||| He ,negation,1,0,dog,own,8.502489,0.0
15,Jennifer owned a dog. ||| She ,negation,1,1,dog,own,8.317728,0.0
15,Jennifer didn't own a dog. ||| She ,negation,1,0,dog,own,8.589165,0.0
17,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.497253,0.0
17,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.554197,0.0
19,Sarah owned a dog. ||| She ,negation,1,1,dog,own,8.497253,0.0
19,Sarah didn't own a dog. ||| She ,negation,1,0,dog,own,8.554197,0.0
21,Bob saw a dog. ||| He ,negation,1,1,dog,see,8.180078,0.0
21,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,8.410223,0.0
23,Linda saw a dog. ||| She ,negation,1,1,dog,see,8.623583,0.0
23,Linda didn't see a dog. ||| She ,negation,1,0,dog,see,8.385712,0.0
25,Jennifer saw a dog. ||| She ,negation,1,1,dog,see,8.591494,0.0
25,Jennifer didn't see a dog. ||| She ,negation,1,0,dog,see,8.351408,0.0
27,Thomas saw a dog. ||| He ,negation,1,1,dog,see,8.487356,0.0
27,Thomas didn't see a dog. ||| He ,negation,1,0,dog,see,8.697906,0.0
29,Bob saw a dog. ||| He ,negation,1,1,dog,see,8.180078,0.0
29,Bob didn't see a dog. ||| He ,negation,1,0,dog,see,8.410223,0.0
31,Susan saw a dog. ||| She ,negation,1,1,dog,see,8.911758,0.0
31,Susan didn't see a dog. ||| She ,negation,1,0,dog,see,8.550425,0.0
33,Susan saw a dog. ||| She ,negation,1,1,dog,see,8.911758,0.0
33,Susan didn't see a dog. ||| She ,negation,1,0,dog,see,8.550425,0.0
35,Chris saw a dog. ||| He ,negation,1,1,dog,see,8.404509,0.0
35,Chris didn't see a dog. ||| He ,negation,1,0,dog,see,8.577748,0.0
37,Karen saw a dog. ||| She ,negation,1,1,dog,see,8.237466,0.0
37,Karen didn't see a dog. ||| She ,negation,1,0,dog,see,8.222027,0.0
39,Thomas saw a dog. ||| He ,negation,1,1,dog,see,8.487356,0.0
39,Thomas didn't see a dog. ||| He ,negation,1,0,dog,see,8.697906,0.0
41,Richard kicked a dog. ||| He ,negation,1,1,dog,kick,8.543072,0.0
41,Richard didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.451783,0.0
43,Bob kicked a dog. ||| He ,negation,1,1,dog,kick,8.401698,0.0
43,Bob didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.410253,0.0
45,Elizabeth kicked a dog. ||| She ,negation,1,1,dog,kick,8.799178,0.0
45,Elizabeth didn't kick a dog. ||| She ,negation,1,0,dog,kick,8.392156,0.0
47,Nancy kicked a dog. ||| She ,negation,1,1,dog,kick,8.645137,0.0
47,Nancy didn't kick a dog. ||| She ,negation,1,0,dog,kick,8.763066,0.0
49,Thomas kicked a dog. ||| He ,negation,1,1,dog,kick,8.748941,0.0
49,Thomas didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.663764,0.0
51,Linda kicked a dog. ||| She ,negation,1,1,dog,kick,8.955042,0.0
51,Linda didn't kick a dog. ||| She ,negation,1,0,dog,kick,8.337476,0.0
53,Chris kicked a dog. ||| He ,negation,1,1,dog,kick,8.78844,0.0
53,Chris didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.5481205,0.0
55,Mary kicked a dog. ||| She ,negation,1,1,dog,kick,8.571097,0.0
55,Mary didn't kick a dog. ||| She ,negation,1,0,dog,kick,8.403669,0.0
57,Mary kicked a dog. ||| She ,negation,1,1,dog,kick,8.571097,0.0
57,Mary didn't kick a dog. ||| She ,negation,1,0,dog,kick,8.403669,0.0
59,Bob kicked a dog. ||| He ,negation,1,1,dog,kick,8.401698,0.0
59,Bob didn't kick a dog. ||| He ,negation,1,0,dog,kick,8.410253,0.0
61,Jessica brought a dog. ||| She ,negation,1,1,dog,bring,8.881808,0.0
61,Jessica didn't bring a dog. ||| She ,negation,1,0,dog,bring,8.969663,0.0
63,Richard brought a dog. ||| He ,negation,1,1,dog,bring,8.623313,0.0
63,Richard didn't bring a dog. ||| He ,negation,1,0,dog,bring,8.827137,0.0
65,Bob brought a dog. ||| He ,negation,1,1,dog,bring,8.312375,0.0
65,Bob didn't bring a dog. ||| He ,negation,1,0,dog,bring,8.669165,0.0
67,Mary brought a dog. ||| She ,negation,1,1,dog,bring,8.921189,0.0
67,Mary didn't bring a dog. ||| She ,negation,1,0,dog,bring,8.782288,0.0
69,Mary brought a dog. ||| She ,negation,1,1,dog,bring,8.921189,0.0
69,Mary didn't bring a dog. ||| She ,negation,1,0,dog,bring,8.782288,0.0
71,Richard brought a dog. ||| He ,negation,1,1,dog,bring,8.623313,0.0
71,Richard didn't bring a dog. ||| He ,negation,1,0,dog,bring,8.827137,0.0
73,Elizabeth brought a dog. ||| She ,negation,1,1,dog,bring,8.9101095,0.0
73,Elizabeth didn't bring a dog. ||| She ,negation,1,0,dog,bring,8.887158,0.0
75,David brought a dog. ||| He ,negation,1,1,dog,bring,8.612119,0.0
75,David didn't bring a dog. ||| He ,negation,1,0,dog,bring,8.8948555,0.0
77,Mary brought a dog. ||| She ,negation,1,1,dog,bring,8.921189,0.0
77,Mary didn't bring a dog. ||| She ,negation,1,0,dog,bring,8.782288,0.0
79,Michael brought a dog. ||| He ,negation,1,1,dog,bring,8.712303,0.0
79,Michael didn't bring a dog. ||| He ,negation,1,0,dog,bring,8.883515,0.0
81,David got a dog. ||| He ,negation,1,1,dog,get,8.378308,0.0
