pair_id,sentence,type,pronoun,preferred,noun,verb
0,Michael owned a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,own
0,Michael didn't own a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,own
1,Michael owned a dog |||  and it  ||| had a long tail.,negation,1,1,dog,own
1,Michael didn't own a dog |||  and it  ||| had a long tail.,negation,1,0,dog,own
2,David owned a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,own
2,David didn't own a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,own
3,David owned a dog |||  and it  ||| had a red collar.,negation,1,1,dog,own
3,David didn't own a dog |||  and it  ||| had a red collar.,negation,1,0,dog,own
4,Linda owned a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,own
4,Linda didn't own a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,own
5,Linda owned a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,own
5,Linda didn't own a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,own
6,Michael owned a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,own
6,Michael didn't own a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,own
7,Michael owned a dog |||  and it  ||| had a shrill voice.,negation,1,1,dog,own
7,Michael didn't own a dog |||  and it  ||| had a shrill voice.,negation,1,0,dog,own
8,Jessica owned a dog |||  and the dog  ||| had a colorful back.,negation,0,1,dog,own
8,Jessica didn't own a dog |||  and the dog  ||| had a colorful back.,negation,0,0,dog,own
9,Jessica owned a dog |||  and it  ||| had a colorful back.,negation,1,1,dog,own
9,Jessica didn't own a dog |||  and it  ||| had a colorful back.,negation,1,0,dog,own
10,Mary owned a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,own
10,Mary didn't own a dog |||  and the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,own
11,Mary owned a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,own
11,Mary didn't own a dog |||  and it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,own
12,Michael owned a dog |||  and the dog  ||| preferred fish over other food.,negation,0,1,dog,own
12,Michael didn't own a dog |||  and the dog  ||| preferred fish over other food.,negation,0,0,dog,own
13,Michael owned a dog |||  and it  ||| preferred fish over other food.,negation,1,1,dog,own
13,Michael didn't own a dog |||  and it  ||| preferred fish over other food.,negation,1,0,dog,own
14,Karen owned a dog |||  and the dog  ||| was called Fido.,negation,0,1,dog,own
14,Karen didn't own a dog |||  and the dog  ||| was called Fido.,negation,0,0,dog,own
15,Karen owned a dog |||  and it  ||| was called Fido.,negation,1,1,dog,own
15,Karen didn't own a dog |||  and it  ||| was called Fido.,negation,1,0,dog,own
16,Nancy owned a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,1,dog,own
16,Nancy didn't own a dog |||  and the dog  ||| liked to swim in lakes.,negation,0,0,dog,own
17,Nancy owned a dog |||  and it  ||| liked to swim in lakes.,negation,1,1,dog,own
17,Nancy didn't own a dog |||  and it  ||| liked to swim in lakes.,negation,1,0,dog,own
18,Susan owned a dog |||  and the dog  ||| loved cheese.,negation,0,1,dog,own
18,Susan didn't own a dog |||  and the dog  ||| loved cheese.,negation,0,0,dog,own
19,Susan owned a dog |||  and it  ||| loved cheese.,negation,1,1,dog,own
19,Susan didn't own a dog |||  and it  ||| loved cheese.,negation,1,0,dog,own
20,Jennifer saw a dog |||  and the dog  ||| had a long tail.,negation,0,1,dog,see
20,Jennifer didn't see a dog |||  and the dog  ||| had a long tail.,negation,0,0,dog,see
21,Jennifer saw a dog |||  and it  ||| had a long tail.,negation,1,1,dog,see
21,Jennifer didn't see a dog |||  and it  ||| had a long tail.,negation,1,0,dog,see
22,Bill saw a dog |||  and the dog  ||| had a red collar.,negation,0,1,dog,see
22,Bill didn't see a dog |||  and the dog  ||| had a red collar.,negation,0,0,dog,see
23,Bill saw a dog |||  and it  ||| had a red collar.,negation,1,1,dog,see
23,Bill didn't see a dog |||  and it  ||| had a red collar.,negation,1,0,dog,see
24,Bob saw a dog |||  and the dog  ||| had a blind eye.,negation,0,1,dog,see
24,Bob didn't see a dog |||  and the dog  ||| had a blind eye.,negation,0,0,dog,see
25,Bob saw a dog |||  and it  ||| had a blind eye.,negation,1,1,dog,see
25,Bob didn't see a dog |||  and it  ||| had a blind eye.,negation,1,0,dog,see
26,Bill saw a dog |||  and the dog  ||| had a shrill voice.,negation,0,1,dog,see
26,Bill didn't see a dog |||  and the dog  ||| had a shrill voice.,negation,0,0,dog,see
